trial_id,configuration,omitted_component,success,travel_time_s,deadlocks,discomfort_integral,shelf_contact_ticks,shelf_contact_events,min_shelf_clearance_m,inter_cart_crowding
53,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,39.05,0,0.02,216,74,0.0,0
54,Full D2RO Framework,None (Complete Equation),1,51.4,0,0.02,154,5,0.497,0
54,w/o V2V Mesh Telemetry,W_mesh = 0,1,28.9,0,0.01,93,4,0.511,0
54,w/o Corridor Mutex Lock,R_lock = 0,1,28.9,0,0.01,93,4,0.511,0
54,w/o Human Gaussian Proxemics,H_prox = 0,1,72.2,0,1.83,349,10,0.492,0
54,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,42.8,0,0.02,279,95,0.0,0
55,Full D2RO Framework,None (Complete Equation),1,65.25,0,0.04,212,3,0.511,0
55,w/o V2V Mesh Telemetry,W_mesh = 0,1,32.65,0,0.01,140,7,0.511,0
55,w/o Corridor Mutex Lock,R_lock = 0,1,32.65,0,0.01,140,7,0.511,0
55,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,13.94,123,32,0.516,0
55,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,46.4,0,0.03,277,97,0.0,0
56,Full D2RO Framework,None (Complete Equation),1,21.15,0,0.01,102,3,0.516,0
56,w/o V2V Mesh Telemetry,W_mesh = 0,1,22.25,0,0.01,115,9,0.516,0
56,w/o Corridor Mutex Lock,R_lock = 0,1,22.25,0,0.01,115,9,0.516,0
56,w/o Human Gaussian Proxemics,H_prox = 0,0,180.0,0,15.43,290,111,0.512,0
56,w/o Trolley Kinetic Safety Bubble,S_trolley = 0,1,19.55,0,0.01,157,67,0.0,0
57,Full D2RO Framework,None (Complete Equation),1,36.7,0,0.0,52,2,0.507,0
