trial_id,fleet_size_carts,fixed_crowd_humans,success_rate_pct,makespan_s,mean_replan_latency_ms,corridor_mutex_wait_s,v2v_mesh_packets
64,10,10,100.0,48.05,0.752,0.0,74
64,12,10,0.0,65.05,0.662,0.0,451
65,2,10,0.0,65.05,0.896,0.0,41
65,4,10,100.0,22.2,0.432,0.0,20
65,6,10,100.0,23.15,0.623,0.0,32
65,8,10,100.0,22.6,0.5,0.0,22
65,10,10,0.0,65.05,0.785,0.0,132
65,12,10,0.0,65.05,0.591,0.0,84
66,2,10,100.0,25.25,0.653,0.0,4
66,4,10,100.0,22.05,0.611,0.0,19
66,6,10,0.0,65.05,0.555,0.0,12
66,8,10,100.0,34.15,0.669,0.0,26
66,10,10,100.0,28.25,0.658,0.0,83
66,12,10,100.0,34.45,0.676,0.0,72
67,2,10,100.0,22.55,0.595,0.0,2
67,4,10,100.0,26.65,0.528,0.0,1
67,6,10,100.0,32.05,0.627,0.0,58
67,8,10,100.0,23.0,0.527,0.0,12
67,10,10,0.0,65.05,0.59,0.0,51
67,12,10,100.0,45.1,0.601,0.0,347
68,2,10,100.0,21.15,0.674,0.0,8
68,4,10,100.0,61.65,0.804,0.0,64
68,6,10,100.0,63.4,0.55,0.0,22
68,8,10,100.0,20.65,0.547,0.0,24
68,10,10,0.0,65.05,0.849,0.0,441
68,12,10,0.0,65.05,0.567,0.0,219
69,2,10,100.0,18.2,0.571,0.0,1
69,4,10,100.0,31.8,0.59,0.0,33
69,6,10,100.0,37.4,0.539,0.0,61
69,8,10,100.0,22.2,0.726,0.0,64
69,10,10,100.0,35.7,0.711,0.0,222
69,12,10,100.0,27.6,0.557,0.0,88
70,2,10,100.0,14.9,0.706,0.0,0
70,4,10,100.0,51.4,0.595,0.0,58
70,6,10,0.0,65.05,0.816,0.0,168
70,8,10,0.0,65.05,0.596,0.0,94
70,10,10,0.0,65.05,0.427,0.0,310
70,12,10,100.0,31.35,0.551,0.0,82
71,2,10,100.0,22.25,0.602,0.0,7
71,4,10,100.0,26.65,0.749,0.0,47
71,6,10,100.0,27.1,0.62,0.0,104
71,8,10,0.0,65.05,0.574,0.0,96
71,10,10,100.0,29.25,0.63,0.0,78
71,12,10,100.0,32.65,0.66,0.0,61
72,2,10,100.0,21.4,0.488,0.0,4
72,4,10,100.0,36.5,0.871,0.0,37
72,6,10,100.0,28.05,0.727,0.0,47
72,8,10,100.0,23.55,0.606,0.0,77
72,10,10,0.0,65.05,0.736,0.0,31
72,12,10,100.0,38.95,0.527,0.0,117
73,2,10,100.0,24.5,0.774,0.0,4
73,4,10,100.0,30.3,0.721,0.0,9
73,6,10,100.0,22.5,0.627,0.0,25
73,8,10,100.0,40.65,0.646,0.0,50
73,10,10,100.0,26.6,0.624,0.0,57
73,12,10,100.0,25.4,0.582,0.0,73
74,2,10,100.0,28.45,0.718,0.0,4
74,4,10,100.0,31.5,0.66,0.0,28
74,6,10,100.0,58.9,0.725,0.0,60
74,8,10,100.0,25.3,0.595,0.0,45
74,10,10,100.0,46.35,0.767,0.0,144
74,12,10,100.0,39.1,0.564,0.0,69
75,2,10,100.0,19.2,0.556,0.0,3
75,4,10,100.0,17.45,0.684,0.0,9
75,6,10,100.0,30.65,0.642,0.0,41
75,8,10,100.0,32.0,0.801,0.0,75
75,10,10,100.0,30.85,0.458,0.0,148
75,12,10,100.0,22.6,0.613,0.0,63
76,2,10,100.0,58.65,0.711,0.0,23
76,4,10,100.0,24.5,0.501,0.0,12
76,6,10,0.0,65.05,0.718,0.0,205
